l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,-70.0,-70.0,0.0,0.0,80.0,0.0,1.6464304457782277e-08,0.0,0.04200927259600337,0.2699967503609946,-0.16059891739315918,123.39740603440579,125.07219768842596,125.22239786888126,121.98429355032448,126.07463517722806,125.18265532558576,0,1,81,1,0,-1
-70.0,-70.0,-54.44444444444444,1.9026157507440757,3.295427147569626,85.07175939203358,-0.09917676293874289,2.558554096576079,-4.438932911472178,-0.14371064814920564,2.4676227957237664,-4.416189847212654,129.1736871172902,120.1722379892531,131.23448775509465,121.99844136128328,137.58945551790632,120.0057930867073,1,2,85,-1,2,-5
-70.0,-70.0,-38.888888888888886,4.028793707145468,6.978075393989684,89.88962719353597,-0.3970963550935753,5.101718112583176,-8.895556666373093,-0.2952314545398419,5.031956939013273,-9.066071339665164,131.42989154928182,118.90972134695362,137.0157302453983,120.8864683855201,153.17146895470196,115.00874493527682,2,5,89,1,5,-10
-70.0,-70.0,-23.333333333333336,6.368668700800185,11.030857766359532,94.4141035246984,-0.8948849211485619,7.613951070937787,-13.387412315740841,-0.8520856762908173,7.577535293153679,-13.442482763927506,134.46233301834764,117.19089222525164,144.89726014786729,124.56201660182843,170.83700801165435,112.1152344742636,7,11,94,1,8,-14
-70.0,-70.0,-7.777777777777779,8.910630847863956,15.43366535599094,98.60735596217502,-1.594277824213844,10.079417870294204,-17.931717012247795,-1.573226648039173,10.041746218947264,-17.857815897783922,137.47432168907363,115.49477365758425,147.61482588423593,124.65371059144296,183.32817091556203,111.90026590125392,7,16,98,-2,9,-18
-70.0,-70.0,7.7777777777777715,11.641399507023593,20.16349541737216,102.433527504777,-2.497399553819877,12.481862277437717,-22.545141494181344,-2.488086149907997,12.399513863733198,-22.551964666654126,136.8722723517351,113.30965718699704,153.60423976365988,132.91524254535253,198.15273691114456,107.7571606265272,15,20,102,-2,13,-21
-70.0,-70.0,23.33333333333333,14.54611080794075,25.19460297188013,105.85903104481069,-3.606441463715145,14.804506388235527,-27.243515958724984,-3.5682600687720507,14.846205927352283,-27.186114054038566,140.610711914786,112.7908648354701,156.1697217203835,138.31663477800106,213.26388701413038,103.54173504536699,13,27,106,-4,15,-27
-70.0,-70.0,38.888888888888886,17.60841812477318,30.498674833023813,108.852827957302,-4.923226812750772,17.0299891458273,-32.04144363610486,-5.052734368883793,17.16481958935091,-32.02838977496219,141.32172518372934,111.12745136243903,158.45917814889492,144.66344825805857,228.9532808294391,99.32378407431027,15,31,109,-5,16,-33
-70.0,-70.0,54.44444444444444,20.810604764551243,36.0450247884377,111.38668853627988,-6.448655423159229,19.140359147305237,-36.95180690756461,-6.360024603082845,19.109642080169493,-36.829728738741544,140.74596262032154,108.6263724360703,160.30630832021407,154.4099767491219,241.9147420767399,97.14465970639358,22,-10,118,9,28,-24
-70.0,-70.0,70.0,24.133708040848198,41.800808501782626,113.4354321425904,-8.182028458806428,21.117139317107615,-41.985161106578374,-8.077323227436477,21.08404501110434,-42.101853980616326,141.03976190998497,109.1482479642377,164.4842549582059,163.1495828100004,256.82609622551183,92.99772099555726,16620,17453,-8498,79,-64,115
